id;product;calories;fat;saturated;trans; monounsaturated; polyunsaturated;cholesterol;total;starch;sugar;added;protein;fiber; salt
1;Melk og melkeprodukter;;;;;;;;;;;;;;
1.1;Melk og melkebasert drikke;;;;;;;;;;;;;;
01.013;Geitmelk, langtidsholdbar;69;4,5;2,9;0,1;1,1;0,1;13;4;0;4;0;3;0;0
01.272;Helmelk, 3,5 % fett, laktosefri;60;3,5;2,2;0,1;0,8;0,1;9;3;0;3;0;4;0;0,1
01.001;Helmelk, 3,5 % fett, Tine;63;3,5;2,2;0,1;0,8;0,1;9;4,5;0;4,5;0;3,4;0;0,1
01.235;Helmelk, 3,9 % fett, Q-meieriene;67;3,9;2,7;0,1;1;0,2;10;4,6;0;4,6;0;3,3;0;0,1
01.283;Helmelk, 4,1 % fett, økologisk;67;4,1;2,7;0,1;0,9;0,1;11;4,5;0;4,5;0;3;0;0,1
01.236;Helmelk, uspesifisert;62;3,5;2,5;0,1;1,1;0,1;10;4,4;0;4,4;0;3,3;0;0,1
01.109;Kaffemelk, 3,5 % fett;61;3,5;2,2;0,1;0,8;0,1;9;4,4;0;4,4;0;3;0;0,1
01.196;Kakao, med lettmelk, tilberedt;80;1,6;1;0;0,4;0;2;11,7;0,4;11,3;7;4,2;1;0,1
01.274;Lettmelk, 0,5 % fett, vitamin D, laktosefri;33;0,5;0,3;0;0,1;0;1;3,1;0;3,1;0;4;0;0,1
01.230;Lettmelk, 0,5 % fett, vitamin D, Q-meieriene;37;0,5;0,3;0;0,1;0;1;4,6;0;4,6;0;3,5;0;0,1
01.192;Lettmelk, 0,5 % fett, vitamin D, Tine;37;0,5;0,3;0;0,1;0;1;4,5;0;4,5;0;3,5;0;0,1
01.231;Lettmelk, 0,5-0,7 % fett, vitamin D, uspesifisert;38;0,7;0,5;0;0,2;0;2;4,5;0;4,5;0;3,5;0;0,1
01.285;Lettmelk, 0,7 % fett, økologisk;37;0,7;0,5;0;0,1;0;2;4,7;0;4,7;0;3;0;0,1
01.215;Lettmelk, 1,0 % fett, laktosefri;37;1;0,6;0;0,2;0;2;3,1;0;3,1;0;4;0;0,1
01.118;Lettmelk, 1,0 % fett, laktoseredusert;43;1;0,6;0;0,2;0;2;4,5;0;4,5;0;4;0;0,1
01.228;Lettmelk, 1,0 % fett, Q-meieriene;41;1;0,7;0;0,2;0;3;4,6;0;4,6;0;3,5;0;0,1
01.002;Lettmelk, 1,0 % fett, Tine;41;1;0,6;0;0,2;0;2;4,5;0;4,5;0;3,5;0;0,1
01.119;Lettmelk, 1,2 % fett, langtidsholdbar;45;1,2;0,8;0;0,3;0;3;4,5;0;4,5;0;4;0;0,1
01.268;Lettmelk, 1,2 % fett, økologisk;42;1,2;0,8;0;0,3;0;3;4,7;0;4,7;0;3;0;0,1
01.229;Lettmelk, 1-1,2 % fett, uspesifisert;43;1,2;0,8;0;0,3;0;3;4,5;0;4,5;0;3,5;0;0,1
01.227;Lettmelk, kakao, vitamin D;48;1,1;0,7;0;0,3;0;3;5,3;0,9;4,4;0;4;0;0,1
01.292;Lettmelk, uspesifisert;41;1;0,6;0;0,2;0;3;4,5;0;4,5;0;3,5;0;0,1
01.291;Melk, uspesifisert;45;1,4;0,9;0;0,4;0;4;4,5;0;4,5;0;3,5;0;0,1
01.079;Milkshake, sjokoladesmak;74;1,5;1;0;0,4;0;4;11,1;0,1;11;4,8;4;0;0,4
01.197;Sjokolademelk, av pulver og lettmelk;63;0,9;0,5;0;0,2;0;2;10;0,2;9,8;5,6;3,6;0;0,1
01.127;Sjokolademelk, Litago;48;0,8;0,5;0;0,2;0;2;5,9;0,1;5,8;1,4;4;0;0,1
01.008;Sjokolademelk, Sjokomelk;62;1,2;0,8;0;0,3;0;3;8,5;0,1;8,4;4,1;4;0;0,1
01.280;Sjokolademelk, uten tilsatt sukker, Litago Uten;50;1,3;0,8;0;0,3;0;3;4,6;0,1;4,5;0;4;2;0,1
01.289;Skummet melk, Styrk;39;0,1;0,1;0;0;0;0;4,6;0;4,6;0;5;0;0,1
01.003;Skummet melk, Tine;33;0,1;0,1;0;0;0;0;4,5;0;4,5;0;3,5;0;0,1
01.277;Syrnet melk, blåbær, laktosefri, Biola;51;0,1;0;0;0;0;0;9,4;0,3;9,1;5,3;3;0;0,1
