id;product;omega3; omega6;vitaminA; retinol; betacarotene; vitaminD; vitaminE; thiamine;riboflavin;niacin;vitaminB6;folate;vitamineB12; vitamineC; calcium; iron;sodium;potassium;magnesium; zinc;selenium; copper;phosphorus; iodine
1;Melk og melkeprodukter;;;;;;;;;;;;;;;;;;;;;;;;
1.1;Melk og melkebasert drikke;;;;;;;;;;;;;;;;;;;;;;;;
01.013;Geitmelk, langtidsholdbar;0,02;0,1;18;18;3;0;0,1;0,02;0,2;0,4;0,06;0;0;0;103;0,1;3;165;13;0,3;2;0,13;94;66
01.272;Helmelk, 3,5 % fett, laktosefri;0,01;0,01;50;48;21;0;0,1;0,02;0,06;0,1;0,03;5;0,5;0;120;0;30;160;8;0,3;2;0;91;14
01.001;Helmelk, 3,5 % fett, Tine;0,01;0,01;0;0;0;0;0;0;0,15;0;0;0;0,6;0;130;0;40;171;11;0,4;1;0,02;115;16
01.235;Helmelk, 3,9 % fett, Q-meieriene;0,03;0,08;38;36;25;0;0,1;0,05;0,15;0,1;0,04;11;0,6;0;120;0;40;180;13;0,6;0;0,02;97;15
01.283;Helmelk, 4,1 % fett, økologisk;0,02;0,02;0;0;0;0;0;0;0,15;0;0;0;0,4;0;120;0;35;170;0;0;0;0;100;20
01.236;Helmelk, uspesifisert;0,02;0,06;42;40;20;0;0,1;0,05;0,15;0,1;0,04;4;0,5;0;115;0;40;150;10;0,4;1;0,01;90;10,1
01.109;Kaffemelk, 3,5 % fett;0,01;0,01;42;40;21;0;0,1;0,05;0,15;0,1;0,04;4;0,5;0;115;0;40;150;10;0,4;1;0,01;90;16
01.196;Kakao, med lettmelk, tilberedt;0;0,03;3;2;3;0,3;0;0,03;0,11;0,1;0,02;4;0,5;0;124;0,4;40;301;27;0,6;1;0,15;129;15
01.274;Lettmelk, 0,5 % fett, vitamin D, laktosefri;0;0;9;9;3;0,4;0;0,01;0,06;0,1;0,03;5;0,5;0;130;0;30;160;9;0,3;2;0;96;17
01.230;Lettmelk, 0,5 % fett, vitamin D, Q-meieriene;0;0,01;7;6;6;0,4;0;0,05;0,15;0,1;0,04;5;0,5;0;120;0;40;180;13;0,4;1;0,01;90;15
01.192;Lettmelk, 0,5 % fett, vitamin D, Tine;0;0;0;0;0;0,8;0;0,05;0,15;0,1;0,04;4;0,6;0;130;0;42;171;10;0,4;1;0,01;115;16
01.231;Lettmelk, 0,5-0,7 % fett, vitamin D, uspesifisert;0;0,01;6;6;5;0,4;0;0,05;0,15;0,1;0,04;4;0,6;0;130;0;42;170;13;0,4;1;0;110;14,8
01.285;Lettmelk, 0,7 % fett, økologisk;0;0;0;0;0;0;0;0;0,15;0;0;0;0,4;0;120;0;40;170;0;0;0;0;100;20
01.215;Lettmelk, 1,0 % fett, laktosefri;0;0;16;16;6;0;0;0,02;0,06;0,1;0,03;5;0,5;0;120;0;30;150;9;0,3;2;0;92;17
01.118;Lettmelk, 1,0 % fett, laktoseredusert;0;0;15;15;6;0,4;0;0,05;0,15;0,1;0,04;5;0,5;0;130;0;40;171;10;0,4;1;0,01;115;16
01.228;Lettmelk, 1,0 % fett, Q-meieriene;0,01;0,02;15;14;7;0;0;0,05;0,15;0,1;0,04;11;0,6;0;120;0;40;157;13;0,6;3;0;97;15
01.002;Lettmelk, 1,0 % fett, Tine;0;0;0;0;0;0;0;0;0,15;0;0;0;0,6;0;130;0;40;171;0;0;0;0;115;16
01.119;Lettmelk, 1,2 % fett, langtidsholdbar;0;0;16;15;7;0;0;0,05;0,15;0,1;0,04;5;0,5;0;130;0;40;171;10;0,4;1;0,01;115;16
01.268;Lettmelk, 1,2 % fett, økologisk;0,01;0,01;0;0;0;0;0;0;0,15;0;0;0;0,4;0;120;0;40;170;0;0;0;0;100;20
01.229;Lettmelk, 1-1,2 % fett, uspesifisert;0,01;0;12;12;7;0;0;0,04;0,15;0;0,04;6;0,6;0;120;0;40;170;13;0,4;1;0;110;14,8
01.227;Lettmelk, kakao, vitamin D;0;0;13;13;5;0,4;0;0,05;0,15;0,1;0,04;5;0,5;0;117;0,3;40;193;16;0,5;2;0;116;16
01.292;Lettmelk, uspesifisert;0;0,02;9;9;6;0,2;0;0,05;0,15;0,1;0,04;5;0,6;0;120;0;41;170;13;0,4;1;0;110;15
